role	name	email	password
customer_service	Customer Service Emp 1	customer_service1@example.com	cus-1-SxjFzgrI4rlS!
customer_service	Customer Service Emp 2	customer_service2@example.com	cus-2-nx8oq8vol4Xy!
customer_service	Customer Service Emp 3	customer_service3@example.com	cus-3-coOzWgzH6vy6!
customer_service	Customer Service Emp 4	customer_service4@example.com	cus-4-iceIaAlL3waQ!
customer_service	Customer Service Emp 5	customer_service5@example.com	cus-5-iss7Ootkf6o5!
finance	Finance Emp 1	finance1@example.com	fin-1-G44ugD9Lpy1f!
finance	Finance Emp 2	finance2@example.com	fin-2-13DxvEsN69y8!
finance	Finance Emp 3	finance3@example.com	fin-3-WLMI9wOshv9e!
finance	Finance Emp 4	finance4@example.com	fin-4-eNhlpolwqyZg!
finance	Finance Emp 5	finance5@example.com	fin-5-k5A7ieRVBO0L!
manager	Customer Service Manager 1	mgr_1_1@example.com	mgr-11-YZT5ODiekIT6!
manager	Customer Service Manager 2	mgr_1_2@example.com	mgr-12-dxu15NjFKRzQ!
manager	Customer Service Manager 3	mgr_1_3@example.com	mgr-13-eQJib5sz2qio!
manager	Shipping Manager 1	mgr_2_1@example.com	mgr-21-oO0AcClqbD0p!
manager	Shipping Manager 2	mgr_2_2@example.com	mgr-22-NUY3gCjSV4nM!
manager	Shipping Manager 3	mgr_2_3@example.com	mgr-23-wkxdGG5yrFyx!
manager	Finance Manager 1	mgr_3_1@example.com	mgr-31-D1Uw6Gt8BoBl!
manager	Finance Manager 2	mgr_3_2@example.com	mgr-32-HaAJN8UKy6wW!
manager	Finance Manager 3	mgr_3_3@example.com	mgr-33-3uRCu0197YkA!
seller	Demo Seller 1	seller1@example.com	slr-1-IzLdnQQV5uCA!
seller	Demo Seller 2	seller2@example.com	slr-2-RFxPlID2CFrT!
seller	Demo Seller 3	seller3@example.com	slr-3-HQK7F6CPPm7O!
seller	Demo Seller 4	seller4@example.com	slr-4-drREouCShUOt!
seller	Demo Seller 5	seller5@example.com	slr-5-ohHdGznhjSoR!
shipping	Shipping Emp 1	shipping1@example.com	shi-1-UUVsvIJNVov6!
shipping	Shipping Emp 2	shipping2@example.com	shi-2-SOgwvmboi65r!
shipping	Shipping Emp 3	shipping3@example.com	shi-3-EWPtpvGahaVB!
shipping	Shipping Emp 4	shipping4@example.com	shi-4-iJ3lDFUx9yTm!
shipping	Shipping Emp 5	shipping5@example.com	shi-5-oQbfUTcYsQRD!
user	Demo User 1	user1@example.com	usr-1-o5j9VRIgtclT!
user	Demo User 2	user2@example.com	usr-2-gkoUkl0epylt!
user	Demo User 3	user3@example.com	usr-3-VcWVdRyhPQEt!
user	Demo User 4	user4@example.com	usr-4-020PSe3PliUZ!
user	Demo User 5	user5@example.com	usr-5-vReV6S5GvFbW!
